,num_game,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
93085014,4,101.0,3.0,6.0,19.0,38.25,60.0
180331040,1,1256.0,1256.0,1256.0,1256.0,1256.0,1256.0
180596443,6,23.700000000000003,0.8,1.275,2.05,7.250000000000001,8.8
303032390,1,110.0,110.0,110.0,110.0,110.0,110.0
151229648,23,1244.3,0.2,0.6,2.3,12.8,912.0
56038151,58,644.7,0.2,0.55,2.35,6.5249999999999995,128.0
124884511,2,1447.3,0.3,361.975,723.65,1085.325,1447.0
148928721,12,2721.1000000000004,0.2,0.4,2.25,23.85,2594.0
150965343,1,5.3,5.3,5.3,5.3,5.3,5.3
46759859,4,812.8,1.0,4.6,160.9,359.5,490.0
268158408,1,5.7,5.7,5.7,5.7,5.7,5.7
257377008,4,33.0,0.3,1.05,2.85,10.05,27.0
133262375,1,290.0,290.0,290.0,290.0,290.0,290.0
202092286,1,7.6,7.6,7.6,7.6,7.6,7.6
136554467,2,164.0,63.0,72.5,82.0,91.5,101.0
189191657,6,184.60000000000002,3.6,4.324999999999999,11.350000000000001,20.325,133.0
57234698,5,5.9,0.4,0.8,0.9,1.2,2.6
198201128,1,19.2,19.2,19.2,19.2,19.2,19.2
55446861,1,22.0,22.0,22.0,22.0,22.0,22.0
2428602,2,474.4,1.4,119.3,237.2,355.1,473.0
9544834,3,101.6,0.3,0.3,0.3,50.65,101.0
287061478,1,409.0,409.0,409.0,409.0,409.0,409.0
32592631,10,286.70000000000005,2.0,9.975000000000001,16.4,19.65,110.0
57103808,62,1275.6,0.2,2.7750000000000004,9.55,27.75,128.0
242349023,1,56.0,56.0,56.0,56.0,56.0,56.0
63276972,16,446.79999999999995,0.2,3.375,11.350000000000001,47.25,100.0
183005527,1,6.4,6.4,6.4,6.4,6.4,6.4
87445402,5,136.2,0.6,4.7,16.9,31.0,83.0
248613483,5,380.0,1.3,8.7,39.0,139.0,192.0
107948398,3,316.0,37.0,44.0,51.0,139.5,228.0
226130045,1,8.7,8.7,8.7,8.7,8.7,8.7
94088853,27,920.4,0.2,5.800000000000001,13.5,25.5,320.0
48058475,10,774.9,0.7,5.8,18.700000000000003,63.0,543.0
170095814,14,225.20000000000002,0.3,1.0,5.45,17.625,85.0
212751581,3,432.70000000000005,0.1,0.35,0.6,216.3,432.0
31887051,1,145.0,145.0,145.0,145.0,145.0,145.0
116085629,1,80.0,80.0,80.0,80.0,80.0,80.0
106238372,3,27.4,1.2,4.5,7.8,13.1,18.4
248444377,7,278.4,0.1,0.1,0.3,32.4,213.0
25941262,2,89.8,0.8,22.85,44.9,66.95,89.0
148510973,18,1790.7,0.3,0.7499999999999999,2.65,43.0,1056.0
64369759,55,579.1,0.1,1.2999999999999998,4.9,15.899999999999999,53.0
210778610,1,5.7,5.7,5.7,5.7,5.7,5.7
125699277,1,57.0,57.0,57.0,57.0,57.0,57.0
9823354,128,2737.1000000000004,0.1,1.7750000000000001,8.95,19.724999999999998,243.0
165269326,1,26.0,26.0,26.0,26.0,26.0,26.0
226033921,4,93.99999999999999,0.1,1.375,3.9499999999999997,26.075,86.0
141593973,1,423.0,423.0,423.0,423.0,423.0,423.0
174965596,1,6.6,6.6,6.6,6.6,6.6,6.6
100519466,34,3584.2999999999997,0.3,3.425,14.9,31.5,2484.0
107886872,2,29.8,2.8,8.85,14.9,20.95,27.0
180789959,3,23.3,3.5,4.25,5.0,9.9,14.8
168031436,16,117.60000000000001,0.3,0.475,1.85,7.725,60.0
169358223,1,407.0,407.0,407.0,407.0,407.0,407.0
181269219,2,6.0,2.6,2.8000000000000003,3.0,3.1999999999999997,3.4
162543176,6,55.3,0.3,0.875,6.75,17.875,21.0
95898619,7,672.7,2.4,10.649999999999999,12.6,120.2,396.0
69857045,1,21.0,21.0,21.0,21.0,21.0,21.0
215492239,1,6.2,6.2,6.2,6.2,6.2,6.2
16167221,24,1016.9,0.1,1.0750000000000002,3.75,16.85,722.0
19586574,19,206.49999999999997,0.3,2.15,5.2,13.35,48.0
200759485,2,5.5,0.4,1.575,2.75,3.925,5.1
82792088,1,63.0,63.0,63.0,63.0,63.0,63.0
213909719,1,67.0,67.0,67.0,67.0,67.0,67.0
219446813,1,210.0,210.0,210.0,210.0,210.0,210.0
41883322,21,426.3,0.2,3.4,11.2,24.0,107.0
186333740,1,6.6,6.6,6.6,6.6,6.6,6.6
142004534,1,94.0,94.0,94.0,94.0,94.0,94.0
99017037,3,278.0,44.0,67.5,91.0,117.0,143.0
170491009,18,776.3000000000001,0.1,4.6499999999999995,14.25,33.25,286.0
30280104,3,6.8,1.5,1.75,2.0,2.65,3.3
64365339,3,118.0,14.0,19.0,24.0,52.0,80.0
103669953,3,6.300000000000001,0.7,0.8,0.9,2.8000000000000003,4.7
237275985,1,46.0,46.0,46.0,46.0,46.0,46.0
178709401,1,200.0,200.0,200.0,200.0,200.0,200.0
198156213,1,17.0,17.0,17.0,17.0,17.0,17.0
190231757,1,18.0,18.0,18.0,18.0,18.0,18.0
76216184,1,7.3,7.3,7.3,7.3,7.3,7.3
48239695,6,445.0,0.2,5.999999999999999,14.6,79.0,312.0
207216516,1,229.0,229.0,229.0,229.0,229.0,229.0
293463755,4,15.9,0.1,1.8249999999999997,3.45,5.6,8.9
131227694,12,179.3,0.3,0.9750000000000001,3.8499999999999996,18.1,90.0
201697182,1,76.0,76.0,76.0,76.0,76.0,76.0
150751526,46,884.8,0.1,0.4,1.95,7.1,374.0
241208825,1,331.0,331.0,331.0,331.0,331.0,331.0
249165768,7,695.9,1.8,2.55,4.0,31.5,622.0
130280718,15,180.70000000000002,0.3,3.2,7.1,13.95,68.0
81569401,1,891.0,891.0,891.0,891.0,891.0,891.0
108601099,1,293.0,293.0,293.0,293.0,293.0,293.0
108560573,6,83.8,4.4,5.5,14.3,21.75,24.0
89161051,1,317.0,317.0,317.0,317.0,317.0,317.0
65716118,21,845.1,0.1,2.0,11.2,30.0,427.0
58237510,6,2219.4,6.0,20.05,183.5,563.25,1191.0
113308351,1,14.1,14.1,14.1,14.1,14.1,14.1
303326013,2,29.2,0.2,7.4,14.6,21.8,29.0
154210162,1,780.0,780.0,780.0,780.0,780.0,780.0
146463817,1,12.2,12.2,12.2,12.2,12.2,12.2
303693006,1,6.9,6.9,6.9,6.9,6.9,6.9
98152188,1,643.0,643.0,643.0,643.0,643.0,643.0
231450817,1,9.9,9.9,9.9,9.9,9.9,9.9
162649407,5,427.6,0.5,0.5,0.6,23.0,403.0
229467150,1,24.0,24.0,24.0,24.0,24.0,24.0
75228114,2,213.8,12.8,59.85,106.9,153.95,201.0
36553207,1,956.0,956.0,956.0,956.0,956.0,956.0
70165453,2,68.5,4.5,19.375,34.25,49.125,64.0
139955299,1,91.0,91.0,91.0,91.0,91.0,91.0
136021775,16,660.4,0.1,0.875,9.2,16.825000000000003,283.0
39446138,4,24.6,0.3,1.1249999999999998,2.5999999999999996,7.625,19.1
215540943,7,96.9,0.7,1.15,2.6,12.15,67.0
81743539,5,19.0,0.5,1.6,2.9,4.7,9.3
128790593,15,129.0,0.2,1.3,2.8,10.3,46.0
198346312,18,290.4,0.4,6.85,9.55,19.275,58.0
155182551,1,4228.0,4228.0,4228.0,4228.0,4228.0,4228.0
169218314,1,61.0,61.0,61.0,61.0,61.0,61.0
252016836,1,27.0,27.0,27.0,27.0,27.0,27.0
217268143,1,6.6,6.6,6.6,6.6,6.6,6.6
88919723,1,26.0,26.0,26.0,26.0,26.0,26.0
26802825,14,61.699999999999996,0.3,0.55,1.75,3.8,21.0
27117407,5,78.3,2.7,5.0,8.2,9.4,53.0
78332414,26,1854.0,0.1,0.8750000000000001,4.199999999999999,66.75,998.0
291151096,1,41.0,41.0,41.0,41.0,41.0,41.0
130201800,10,745.0,2.1,4.825,12.1,29.825,341.0
139352395,1,13.2,13.2,13.2,13.2,13.2,13.2
143459727,7,492.6,0.4,1.15,3.5,88.2,310.0
42681063,7,961.4,3.0,24.7,172.0,223.0,291.0
260118401,7,21.1,0.2,0.9,1.1,4.25,9.5
201445671,1,5.2,5.2,5.2,5.2,5.2,5.2
24932641,2,12.799999999999999,1.2,3.8,6.3999999999999995,9.0,11.6
193987636,6,10.7,0.4,0.7249999999999999,1.1,2.0749999999999997,5.1
242549338,3,106.3,0.2,0.65,1.1,53.05,105.0
71082079,4,86.0,0.5,1.25,17.25,37.5,51.0
166705920,1,697.0,697.0,697.0,697.0,697.0,697.0
228302915,4,33.3,1.7,3.95,5.800000000000001,10.175,20.0
154406815,1,8.9,8.9,8.9,8.9,8.9,8.9
298979438,1,73.0,73.0,73.0,73.0,73.0,73.0
149318464,1,66.0,66.0,66.0,66.0,66.0,66.0
29835809,1,7.3,7.3,7.3,7.3,7.3,7.3
42928788,49,578.3000000000001,0.1,0.9,2.1,5.9,297.0
269437356,1,73.0,73.0,73.0,73.0,73.0,73.0
25096601,50,500.8,0.1,0.5,1.15,8.65,128.0
120377800,1,31.0,31.0,31.0,31.0,31.0,31.0
233160273,4,148.4,1.4,5.674999999999999,9.0,40.425,129.0
234024191,13,247.7,0.1,0.2,2.3,8.2,204.0
168845004,1,5.1,5.1,5.1,5.1,5.1,5.1
144347801,11,524.1,0.1,4.8,27.0,55.5,178.0
42061089,76,1004.0999999999999,0.1,0.975,3.9499999999999997,14.899999999999999,155.0
158267574,1,5.8,5.8,5.8,5.8,5.8,5.8
62654923,11,603.5,0.4,3.05,12.8,82.5,191.0
56256991,5,908.4,0.4,8.0,44.0,133.0,723.0
86338111,31,1568.0,0.2,3.15,7.3,21.55,1064.0
67923337,1,62.0,62.0,62.0,62.0,62.0,62.0
149501464,1,48.0,48.0,48.0,48.0,48.0,48.0
74232403,2,66.2,4.2,18.65,33.1,47.55,62.0
305808638,1,81.0,81.0,81.0,81.0,81.0,81.0
82235763,1,12.8,12.8,12.8,12.8,12.8,12.8
211925330,3,848.0,133.0,211.5,290.0,357.5,425.0
178717672,2,18.200000000000003,1.1,5.1000000000000005,9.100000000000001,13.100000000000001,17.1
218354629,6,108.6,0.1,1.375,5.3,18.45,75.0
189822258,2,5.3,1.3,1.975,2.65,3.325,4.0
194791978,1,8.6,8.6,8.6,8.6,8.6,8.6
202949952,1,16.2,16.2,16.2,16.2,16.2,16.2
108877388,4,67.5,0.2,0.95,3.15,19.075,61.0
214366018,1,108.0,108.0,108.0,108.0,108.0,108.0
72576293,1,34.0,34.0,34.0,34.0,34.0,34.0
227083521,13,27.0,0.1,0.2,1.7,2.1,7.4
286701848,5,46.3,0.2,0.7,1.4,8.0,36.0
112994491,9,117.40000000000002,0.1,0.3,12.0,15.9,44.0
85614332,1,52.0,52.0,52.0,52.0,52.0,52.0
211760999,1,6.9,6.9,6.9,6.9,6.9,6.9
216653925,1,6.1,6.1,6.1,6.1,6.1,6.1
124451578,1,10.5,10.5,10.5,10.5,10.5,10.5
111316830,16,1488.0,0.1,1.8,5.6,8.799999999999999,1395.0
92914917,104,4482.799999999999,0.1,1.3,1.9,4.375,3738.0
158173228,10,726.9,0.9,3.2,11.6,26.0,616.0
147563118,1,879.0,879.0,879.0,879.0,879.0,879.0
77870593,14,1011.4,0.3,15.224999999999998,39.5,61.5,446.0
161383225,4,33.2,0.8,0.875,4.2,11.625,24.0
60760816,1,110.0,110.0,110.0,110.0,110.0,110.0
253006481,1,79.0,79.0,79.0,79.0,79.0,79.0
72842694,103,609.0,0.1,0.6499999999999999,1.6,4.5,142.0
42223842,1,242.0,242.0,242.0,242.0,242.0,242.0
17649444,22,4001.3999999999996,0.2,15.175,42.5,261.0,908.0
141161011,4,8.6,0.7,0.7750000000000001,1.2000000000000002,2.575,5.5
54916182,1,2603.0,2603.0,2603.0,2603.0,2603.0,2603.0
168041218,2,213.2,0.2,53.4,106.6,159.8,213.0
155881626,2,895.0,152.0,299.75,447.5,595.25,743.0
179481154,4,240.3,0.4,0.775,16.45,75.75,207.0
115396529,4,374.4,0.8,6.725,13.299999999999999,100.175,347.0
255957600,1,12.4,12.4,12.4,12.4,12.4,12.4
43804972,1,259.0,259.0,259.0,259.0,259.0,259.0
182579698,1,48.0,48.0,48.0,48.0,48.0,48.0
242412972,2,7.8,0.3,2.1,3.9,5.7,7.5
215008934,1,7.9,7.9,7.9,7.9,7.9,7.9
161220142,1,21.0,21.0,21.0,21.0,21.0,21.0
20200395,55,1137.0000000000002,0.2,1.2000000000000002,7.5,24.0,276.0
32498610,10,683.5000000000001,0.4,1.8499999999999999,5.2,37.25,500.0
292731142,1,22.0,22.0,22.0,22.0,22.0,22.0
43321203,1,7.8,7.8,7.8,7.8,7.8,7.8
221952355,2,23.8,0.8,6.35,11.9,17.45,23.0
4834220,16,2070.6000000000004,1.3,7.5249999999999995,37.0,223.75,474.0
189623540,2,8.9,0.3,2.375,4.45,6.5249999999999995,8.6
208071792,1,6.6,6.6,6.6,6.6,6.6,6.6
65229865,30,709.3,0.3,0.8250000000000001,2.5,20.8,369.0
146809006,3,387.3,0.1,0.15000000000000002,0.2,193.6,387.0
240524467,1,184.0,184.0,184.0,184.0,184.0,184.0
183103599,3,321.9,1.9,11.45,21.0,160.0,299.0
181064527,1,7.7,7.7,7.7,7.7,7.7,7.7
65958466,95,1954.6,0.1,2.7,9.4,26.0,131.0
77905942,5,250.29999999999998,1.1,19.2,64.0,71.0,95.0
181321171,2,25.9,0.9,6.925,12.95,18.975,25.0
215748805,2,45.7,0.7,11.775,22.85,33.925,45.0
129520075,6,97.8,0.3,1.6750000000000003,4.35,9.35,77.0
248255491,2,72.5,16.5,26.375,36.25,46.125,56.0
234292025,2,57.8,3.8,16.35,28.9,41.45,54.0
226923581,3,559.7,0.6,1.35,2.1,279.55,557.0
134590374,1,173.0,173.0,173.0,173.0,173.0,173.0
43908860,16,522.0,0.4,5.675,17.85,37.0,155.0
198249024,3,881.4,10.4,175.7,341.0,435.5,530.0
248518501,1,67.0,67.0,67.0,67.0,67.0,67.0
105796956,1,88.0,88.0,88.0,88.0,88.0,88.0
87821312,2,1162.8,3.8,292.6,581.4,870.2,1159.0
85714521,14,1756.3000000000002,0.2,1.65,20.9,63.0,1378.0
170375966,1,40.0,40.0,40.0,40.0,40.0,40.0
194545521,2,29.3,3.3,8.975,14.65,20.325,26.0
109458201,3,387.5,13.5,24.75,36.0,187.0,338.0
95440541,4,384.7,5.8,6.625000000000001,20.95,110.5,337.0
49767455,22,3270.3999999999996,0.2,1.875,6.5,40.5,1534.0
303269114,1,67.0,67.0,67.0,67.0,67.0,67.0
97238489,1,24.0,24.0,24.0,24.0,24.0,24.0
58117481,1,278.0,278.0,278.0,278.0,278.0,278.0
61676491,88,2352.7,0.1,0.5,1.9000000000000001,6.025,1097.0
166753156,14,1270.1,0.3,2.8,4.4,12.7,1159.0
135879753,18,4810.0,0.5,0.8250000000000001,3.15,18.625,4659.0
101369449,3,406.9,0.9,5.95,11.0,203.0,395.0
176033341,2,434.5,5.5,111.375,217.25,323.125,429.0
103363050,1,32.0,32.0,32.0,32.0,32.0,32.0
171512034,1,55.0,55.0,55.0,55.0,55.0,55.0
68224834,13,235.10000000000002,0.2,4.8,11.2,15.9,114.0
110928152,1,9.2,9.2,9.2,9.2,9.2,9.2
157469247,13,144.10000000000002,0.1,0.7,1.3,16.7,80.0
80119032,3,321.1,0.2,6.05,11.9,160.45,309.0
128831281,1,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0
122803519,12,241.0,0.2,0.6749999999999999,4.85,18.375,146.0
187498422,1,6.8,6.8,6.8,6.8,6.8,6.8
34177747,90,5775.7,0.2,3.1,12.5,38.75,1221.0
124712421,6,59.8,2.1,4.675,9.45,15.274999999999999,18.5
187678142,1,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0
175033323,4,543.1,1.1,34.025,142.0,243.75,258.0
58192081,1,8.4,8.4,8.4,8.4,8.4,8.4
44866715,50,362.4,0.1,0.8,2.15,4.675000000000001,73.0
86686260,4,14.9,0.6,0.8250000000000001,1.8,4.7,10.7
57088976,1,11.9,11.9,11.9,11.9,11.9,11.9
23883383,5,311.9,0.1,0.9,2.2,4.7,304.0
239794225,1,16.9,16.9,16.9,16.9,16.9,16.9
232207754,2,386.2,0.2,96.65,193.1,289.55,386.0
141677474,1,31.0,31.0,31.0,31.0,31.0,31.0
304848876,1,42.0,42.0,42.0,42.0,42.0,42.0
198893163,4,68.4,0.3,5.7,9.55,20.95,49.0
49350285,16,1159.7,0.1,0.6,7.55,19.775,510.0
31727716,27,2373.2999999999997,0.1,2.1,25.0,52.5,1326.0
285926554,1,18.4,18.4,18.4,18.4,18.4,18.4
142001340,15,933.6999999999999,0.1,1.9000000000000001,16.1,42.0,558.0
60217594,29,2047.5,0.4,1.9,4.9,15.3,1447.0
291447290,1,8.6,8.6,8.6,8.6,8.6,8.6
14165501,2,9.3,1.6,3.125,4.65,6.175000000000001,7.7
196223620,12,273.7,0.4,2.875,7.25,35.0,76.0
197090954,1,64.0,64.0,64.0,64.0,64.0,64.0
85643975,8,508.8,0.4,2.4,3.95,6.725,480.0
242013874,1,9.3,9.3,9.3,9.3,9.3,9.3
126158311,1,73.0,73.0,73.0,73.0,73.0,73.0
157414627,1,14.1,14.1,14.1,14.1,14.1,14.1
242781058,17,88.4,0.1,0.2,1.0,1.4,54.0
303525289,5,19.299999999999997,0.2,0.6,1.0,5.9,11.6
282307340,1,30.0,30.0,30.0,30.0,30.0,30.0
88296152,5,10.5,0.1,0.3,1.9,3.8,4.4
230633575,4,344.0,2.1,2.9250000000000003,3.95,87.025,334.0
127706455,1,6.5,6.5,6.5,6.5,6.5,6.5
42005897,59,3013.1000000000004,0.1,1.6,10.9,44.5,571.0
187283749,7,8.8,0.1,0.2,1.2,2.3,2.5
201990605,1,271.0,271.0,271.0,271.0,271.0,271.0
87879009,4,546.4,12.4,36.1,83.0,183.5,368.0
42099265,7,1928.7,5.7,90.5,222.0,347.0,826.0
4064412,4,1394.7,0.5,1.025,41.1,388.75,1312.0
183382406,5,476.8,0.5,1.2,9.1,23.0,443.0
242242432,11,392.2,0.2,2.25,4.5,10.2,328.0
91800733,8,115.1,2.6,3.0,8.15,12.1,63.0
93812486,3,634.5,0.5,5.25,10.0,317.0,624.0
191480137,2,43.9,19.9,20.924999999999997,21.95,22.975,24.0
293269191,3,74.9,1.0,2.45,3.9,36.95,70.0
227777777,3,62.9,0.3,0.9500000000000001,1.6,31.3,61.0
216040174,2,12.200000000000001,1.8,3.95,6.1000000000000005,8.25,10.4
106760673,30,467.50000000000006,0.1,2.025,3.55,9.6,143.0
62539628,3,27.500000000000004,0.6,4.45,8.3,13.450000000000001,18.6
251928689,1,8.2,8.2,8.2,8.2,8.2,8.2
87162199,6,17.3,0.1,0.425,1.1,3.35,10.7
234838943,1,36.0,36.0,36.0,36.0,36.0,36.0
79407831,1,41.0,41.0,41.0,41.0,41.0,41.0
81139130,6,237.1,1.7,7.125,10.850000000000001,21.325,183.0
167017825,8,807.8000000000001,3.5,5.65,8.2,11.774999999999999,748.0
259791209,1,22.0,22.0,22.0,22.0,22.0,22.0
78799565,8,5186.9,0.2,0.825,14.2,1020.25,2526.0
36154073,2,13.5,1.5,4.125,6.75,9.375,12.0
229791471,2,28.3,1.3,7.725,14.15,20.575,27.0
262861632,17,866.9000000000001,0.1,0.4,1.8,6.6,743.0
170473291,1,75.0,75.0,75.0,75.0,75.0,75.0
162999869,1,39.0,39.0,39.0,39.0,39.0,39.0
104055167,11,1956.1,0.1,2.1,11.0,126.4,1169.0
178893007,1,15.4,15.4,15.4,15.4,15.4,15.4
159365538,9,352.4,1.9,5.2,10.4,30.0,201.0
135540095,1,7.3,7.3,7.3,7.3,7.3,7.3
109201849,11,38.699999999999996,0.2,0.6,1.5,4.4,12.0
123245831,1,14.5,14.5,14.5,14.5,14.5,14.5
214077903,1,6.9,6.9,6.9,6.9,6.9,6.9
259268105,3,333.0,21.0,22.5,24.0,156.0,288.0
96771844,3,56.8,1.2,7.8999999999999995,14.6,27.8,41.0
149291366,3,24.200000000000003,2.2,4.45,6.7,11.0,15.3
1950243,43,503.5,0.4,1.35,4.6,11.45,71.0
110095045,3,37.4,0.1,0.7000000000000001,1.3,18.65,36.0
62985928,8,66.1,1.4,5.15,6.35,12.3,18.6
182220992,8,375.8,0.1,0.5999999999999999,2.35,47.5,228.0
266888336,1,7.7,7.7,7.7,7.7,7.7,7.7
278567826,1,16.2,16.2,16.2,16.2,16.2,16.2
142183287,2,7.699999999999999,0.1,1.9749999999999999,3.8499999999999996,5.725,7.6
43913966,98,3108.9,0.2,2.25,9.600000000000001,34.75,608.0
209127185,1,13.4,13.4,13.4,13.4,13.4,13.4
153164320,1,9.7,9.7,9.7,9.7,9.7,9.7
121280370,15,889.1,0.3,4.65,18.5,120.0,228.0
286545176,1,88.0,88.0,88.0,88.0,88.0,88.0
255467165,1,83.0,83.0,83.0,83.0,83.0,83.0
219466905,3,25.5,0.2,0.25,0.3,12.65,25.0
141414004,1,8.2,8.2,8.2,8.2,8.2,8.2
47409520,1,6.6,6.6,6.6,6.6,6.6,6.6
126098408,11,300.79999999999995,0.3,5.15,8.1,43.0,107.0
163137081,1,47.0,47.0,47.0,47.0,47.0,47.0
127813787,3,32.900000000000006,4.7,7.300000000000001,9.9,14.100000000000001,18.3
120725727,6,5297.8,0.5,6.225,18.25,428.0,4694.0
151397156,2,46.0,22.0,22.5,23.0,23.5,24.0
198105109,12,572.0,0.6,3.2249999999999996,13.35,28.25,293.0
118894547,3,1791.8999999999999,0.6,2.4499999999999997,4.3,895.65,1787.0
283975164,1,67.0,67.0,67.0,67.0,67.0,67.0
117531196,83,787.1999999999999,0.2,1.55,4.1,11.85,71.0
49110638,1,23.0,23.0,23.0,23.0,23.0,23.0
193129684,8,151.7,0.3,0.7000000000000001,1.15,12.925,110.0
108755905,1,12.2,12.2,12.2,12.2,12.2,12.2
144737312,1,392.0,392.0,392.0,392.0,392.0,392.0
87071236,43,3180.6000000000004,0.2,1.7,9.7,32.0,1714.0
62317148,1,22.0,22.0,22.0,22.0,22.0,22.0
204459221,8,640.2,0.3,0.45,0.95,2.45,631.0
37708732,5,425.5,0.4,1.8,5.3,77.0,341.0
103620349,2,7.5,1.1,2.4250000000000003,3.75,5.075000000000001,6.4
216921535,2,119.1,0.1,29.825,59.55,89.275,119.0
156407138,3,122.1,0.8,2.05,3.3,60.65,118.0
293360401,2,110.4,10.4,32.8,55.2,77.6,100.0
140065934,1,359.0,359.0,359.0,359.0,359.0,359.0
1364546,2,553.9,0.9,138.925,276.95,414.975,553.0
181608676,20,883.9000000000001,0.1,2.3499999999999996,7.699999999999999,33.75,268.0
192277804,2,5.1,2.3,2.425,2.55,2.675,2.8
101487265,3,2695.8,15.8,56.9,98.0,1340.0,2582.0
76319436,2,7.4,3.7,3.7,3.7,3.7,3.7
58977564,4,495.6,0.2,3.35,75.7,196.25,344.0
205546094,1,7.7,7.7,7.7,7.7,7.7,7.7
182399789,52,1451.6000000000001,0.2,1.475,5.55,12.524999999999999,601.0
64787956,115,1209.0,0.1,0.55,1.9,9.4,230.0
41883229,4,110.2,0.2,0.35000000000000003,0.5,27.7,109.0
139854220,1,222.0,222.0,222.0,222.0,222.0,222.0
131973876,17,434.7,0.3,2.7,8.0,15.1,179.0
163861892,1,410.0,410.0,410.0,410.0,410.0,410.0
302345333,2,14.5,1.6,4.425000000000001,7.25,10.075000000000001,12.9
299060755,2,100.9,2.9,26.675,50.45,74.225,98.0
180743752,2,6.0,1.4,2.1999999999999997,3.0,3.8,4.6
106057222,6,524.3,4.8,13.875,87.0,153.75,180.0
44482198,40,1295.8,0.1,2.05,9.8,40.0,218.0
