,num_user,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
Ultra Street Fighter IV,40,1460.3,0.4,1.05,4.0,14.9,514.0
FINAL FANTASY XIII,22,475.8,0.1,2.75,13.149999999999999,32.75,84.0
Sid Meier's Civilization V,525,99778.59999999998,0.1,12.2,41.0,122.0,11754.0
L.A. Noire,72,1130.5000000000005,0.2,1.775,5.65,25.0,98.0
Company of Heroes Tales of Valor,33,432.70000000000005,0.1,0.4,1.4,7.8,157.0
7 Days to Die,97,4075.100000000001,0.2,4.0,11.2,34.0,619.0
Divekick,6,35.6,1.2,2.2,3.2,6.3,18.8
FINAL FANTASY VII,61,1509.3000000000004,0.2,0.9,4.6,37.0,193.0
Orcs Must Die! 2,91,1198.7999999999997,0.2,2.45,4.9,13.4,147.0
Killing Floor,190,8170.900000000001,0.1,3.3249999999999997,9.45,32.75,1499.0
Company of Heroes,62,610.1999999999999,0.1,0.925,3.1,12.799999999999999,106.0
Bastion,107,651.9000000000003,0.1,1.25,3.7,9.25,34.0
Undertale,31,444.1000000000001,0.1,4.2,9.8,20.5,50.0
Counter-Strike Global Offensive,1332,322694.20000000007,0.1,13.4,65.0,312.0,4659.0
Orcs Must Die!,62,566.8000000000001,0.2,2.225,4.85,11.4,67.0
THE KING OF FIGHTERS XIII STEAM EDITION,21,68.10000000000001,0.1,0.6,1.4,5.0,14.1
Skullgirls,32,305.0,0.1,3.075,6.5,10.05,82.0
Assassin's Creed II,58,1644.6,0.1,4.324999999999999,24.0,38.5,182.0
Company of Heroes Opposing Fronts,25,416.4,0.1,0.3,1.7,10.5,271.0
Grand Theft Auto V,268,22953.90000000001,0.2,17.425,49.0,106.0,841.0
Insurgency,144,2314.9000000000005,0.1,1.3,5.199999999999999,18.275,283.0
METAL GEAR SOLID V THE PHANTOM PAIN,65,4750.599999999999,0.5,23.0,49.0,84.0,1050.0
S.T.A.L.K.E.R. Shadow of Chernobyl,37,514.6999999999999,0.2,0.7,5.3,18.2,138.0
S.T.A.L.K.E.R. Call of Pripyat,25,487.5,0.1,1.3,5.5,25.0,87.0
Saints Row The Third,196,4952.700000000002,0.1,5.45,16.0,33.25,333.0
Far Cry 3,181,5076.000000000002,0.1,4.2,17.8,34.0,234.0
S.T.A.L.K.E.R. Clear Sky,14,291.3,0.2,0.575,3.9,32.5,96.0
Rocket League,148,7827.000000000002,0.1,9.350000000000001,19.4,51.25,479.0
Far Cry 4,35,1251.7000000000003,0.2,11.15,25.0,41.5,161.0
Prototype,19,348.0,0.6,2.5,6.6,26.0,86.0
Space Pirates and Zombies,31,955.2000000000003,0.2,1.15,5.1,22.5,591.0
Dying Light,79,2209.999999999999,0.2,7.8,23.0,41.0,112.0
Just Cause 2,184,3456.0000000000005,0.1,1.2,3.6500000000000004,17.825000000000003,288.0
Mirror's Edge,118,532.8999999999999,0.1,0.7,1.95,5.175000000000001,36.0
Mad Max,24,421.4,1.5,6.4750000000000005,13.35,22.75,55.0
Portal 2,449,9109.599999999997,0.1,5.1,10.9,20.0,725.0
Deus Ex Human Revolution,137,3587.0,0.2,1.9,14.6,35.0,206.0
Middle-earth Shadow of Mordor,97,2324.4999999999986,0.2,7.4,18.5,30.0,109.0
RUNNING WITH RIFLES,3,29.4,1.9,5.45,9.0,13.75,18.5
Deus Ex Human Revolution - Director's Cut,53,775.9000000000003,0.2,3.3,9.0,19.5,73.0
Batman Arkham City GOTY,109,2076.5999999999995,0.1,3.4,11.0,22.0,169.0
Tropico 4,67,1726.3000000000002,0.1,2.35,13.8,30.0,249.0
Cave Story+,29,286.4,0.1,0.4,2.7,8.2,157.0
Dust An Elysian Tail,46,335.6,0.1,1.2,2.75,11.549999999999999,51.0
F.E.A.R.,24,140.59999999999997,0.1,0.5499999999999999,2.0,8.299999999999999,37.0
South Park The Stick of Truth,99,1663.7000000000005,0.3,6.15,14.5,22.0,115.0
Sleeping Dogs,83,1960.2999999999997,0.6,8.3,19.8,30.5,139.0
Watch_Dogs,40,708.7999999999998,0.3,3.475,10.6,27.25,58.0
Saints Row IV,129,2563.0,0.3,5.3,13.5,29.0,117.0
DayZ,241,20309.499999999996,0.3,4.7,19.5,74.0,1555.0
Half-Life 2,332,4236.900000000001,0.1,2.075,7.9,17.5,104.0
Reassembly,6,78.4,0.2,3.65,10.35,17.65,36.0
Sid Meier's Civilization III Complete,23,682.4,0.2,1.35,9.7,24.0,299.0
The Talos Principle,24,426.1,0.2,1.425,7.15,26.25,85.0
DiRT 3,48,691.7000000000002,0.2,0.7750000000000001,2.7,12.249999999999998,329.0
FTL Faster Than Light,125,2315.6000000000004,0.5,3.9,10.8,21.0,162.0
Age of Empires II HD Edition,197,6851.999999999998,0.1,3.4,9.1,25.0,682.0
Batman Arkham Asylum GOTY Edition,110,1394.3999999999999,0.1,2.625,9.5,16.174999999999997,74.0
Gunpoint,38,142.60000000000002,0.3,1.4,3.05,4.825,22.0
Rebuild 3 Gangs of Deadsville,1,8.4,8.4,8.4,8.4,8.4,8.4
Recettear An Item Shop's Tale,16,215.29999999999998,0.1,6.4,8.8,15.799999999999999,62.0
Metro 2033,171,1559.7,0.1,1.0,3.4,11.55,244.0
Monaco,64,169.39999999999998,0.1,0.7,1.65,3.025,13.5
Overgrowth,5,32.5,0.4,4.9,7.3,7.6,12.3
Assassin's Creed III,55,2541.3999999999996,0.4,7.4,24.0,53.5,491.0
Ori and the Blind Forest,30,496.49999999999994,0.6,3.6500000000000004,9.7,14.85,121.0
Far Cry 3 Blood Dragon,49,346.59999999999997,0.3,0.6,2.1,7.6,107.0
Burnout Paradise The Ultimate Box,82,475.40000000000003,0.1,0.7,1.95,7.574999999999999,45.0
PROTOTYPE 2,23,595.5999999999999,0.2,5.95,15.9,22.0,180.0
Game Dev Tycoon,71,866.1,0.9,4.1,8.0,16.15,92.0
Sniper Elite 3,52,1118.1000000000001,0.1,1.95,7.0,13.925,315.0
Gratuitous Space Battles,19,193.30000000000007,0.1,1.1,2.9,8.5,106.0
Rogue Legacy,63,866.9000000000001,0.1,2.05,6.4,19.799999999999997,118.0
Plague Inc Evolved,44,461.2,0.1,2.6500000000000004,7.550000000000001,13.725,50.0
From Dust,32,213.79999999999998,0.2,0.8,2.45,5.824999999999999,91.0
Next Car Game Wreckfest,28,119.30000000000003,0.1,0.95,1.85,3.6,41.0
Rivals of Aether,4,24.8,0.2,1.175,3.5,8.525,17.6
Half-Life 2 Episode Two,137,1114.0,0.1,4.0,6.4,11.0,43.0
Rise of Nations Extended Edition,25,239.3,0.2,2.4,5.2,8.1,53.0
Nidhogg,32,124.99999999999999,0.1,1.0750000000000002,2.25,4.35,38.0
Spec Ops The Line,54,887.4999999999999,0.4,2.3,6.45,11.25,408.0
Dishonored,145,2842.2,0.3,4.1,12.5,24.0,308.0
Half-Life 2 Episode One,140,833.4999999999995,0.1,2.875,4.45,7.7,42.0
Wolfenstein The New Order,61,1190.1000000000001,0.3,3.5,14.7,25.0,122.0
Distance,5,38.2,0.4,0.7,1.1,4.0,32.0
Epic Battle Fantasy 4,4,120.8,4.0,6.1,28.9,53.0,59.0
Metro Last Light,81,1094.4000000000003,0.2,3.4,9.8,15.2,168.0
Miasmata,7,11.8,0.2,0.6,1.5,2.6,3.7
Dead Space,65,327.3999999999999,0.1,0.6,1.5,5.2,40.0
Hotline Miami,94,518.2000000000002,0.1,1.125,3.8499999999999996,7.3500000000000005,34.0
NOT A HERO,3,25.6,3.0,6.7,10.4,11.3,12.2
Receiver,7,22.0,0.1,0.15000000000000002,0.3,2.8,15.7
Crypt of the NecroDancer,16,353.49999999999994,0.2,2.075,7.199999999999999,14.075000000000001,234.0
Portal,399,2261.4,0.1,1.6,3.4,6.5,100.0
F.E.A.R. 2 Project Origin,36,386.40000000000003,0.2,3.0250000000000004,7.35,13.375000000000002,76.0
SteamWorld Dig,24,78.3,0.2,1.0999999999999999,2.45,5.800000000000001,11.6
SNOW,3,10.9,0.4,1.45,2.5,5.25,8.0
The Binding of Isaac,167,5457.2,0.1,1.5,6.5,23.5,1672.0
LEGO The Lord of the Rings,29,235.80000000000004,0.1,1.2,3.8,9.3,54.0
METAL GEAR RISING REVENGEANCE,38,381.9,0.4,1.3,4.95,12.474999999999998,47.0
Starpoint Gemini 2,12,96.1,0.4,1.1749999999999998,2.0,11.274999999999999,33.0
The Vanishing of Ethan Carter,21,92.60000000000001,0.2,1.8,3.9,5.1,23.0
Goat Simulator,125,914.3999999999996,0.1,1.2,2.4,5.2,193.0
Mass Effect,69,2609.7999999999984,0.2,2.8,11.5,26.0,908.0
Arma 2 Operation Arrowhead,185,9427.500000000002,0.1,1.2,7.3,49.0,729.0
METAL GEAR SOLID V GROUND ZEROES,33,249.40000000000003,0.4,2.4,5.4,9.0,43.0
Banished,87,2630.999999999999,0.1,2.5,13.3,33.0,410.0
DiRT Showdown,21,121.40000000000002,0.4,1.4,4.4,9.2,19.1
Sonic Adventure 2 ,12,70.30000000000001,0.2,1.2000000000000002,1.5,9.65,27.0
Battlestations Midway,4,24.7,1.4,3.1250000000000004,5.25,8.3,12.8
HOARD,14,64.2,0.2,1.25,2.7,8.475,12.9
Sunless Sea,11,83.30000000000001,0.4,1.4,1.9,9.2,36.0
Mark of the Ninja,71,424.1000000000001,0.1,0.9,4.0,6.65,34.0
Creeper World 3 Arc Eternal,4,24.2,0.8,1.0250000000000001,1.2000000000000002,6.225,21.0
Turbo Dismount,20,118.60000000000002,0.5,0.95,2.3,7.15,31.0
Floating Point,14,8.0,0.1,0.125,0.25,0.45,2.9
Grow Home,12,93.5,0.2,1.625,3.45,6.174999999999999,55.0
LUFTRAUSERS,10,22.6,0.4,1.4,1.6,2.1999999999999997,7.7
Arma 2,145,825.2,0.1,0.4,1.1,4.1,110.0
No Time To Explain Remastered,3,17.3,0.9,2.15,3.4,8.2,13.0
FEZ,52,238.80000000000004,0.1,0.6,1.8,4.85,48.0
The Legend of Heroes Trails in the Sky,10,131.4,0.4,1.1,8.2,16.375,60.0
Evoland,17,59.2,0.3,1.2,2.6,4.9,10.8
Bleed,5,11.6,0.5,0.8,3.1,3.3,3.9
Borderlands 2,386,22667.899999999994,0.2,5.8,22.0,61.75,758.0
Race The Sun,25,80.8,0.2,0.8,1.5,3.1,21.0
Shadowgrounds,17,85.80000000000001,0.2,0.3,0.9,6.0,48.0
They Bleed Pixels,10,22.8,0.1,0.55,0.75,3.625,8.0
Trine,72,401.59999999999997,0.1,1.0750000000000002,3.45,7.1,48.0
"Sir, You Are Being Hunted",16,39.699999999999996,0.3,0.5,0.9,3.075,18.0
Next Car Game Sneak Peek 2.0,16,12.699999999999998,0.1,0.2,0.5,0.9500000000000001,2.8
Symphony,4,7.8,0.1,0.32500000000000007,0.55,2.175,6.6
DLC Quest,24,67.6,0.5,0.975,1.5,2.9499999999999997,21.0
Far Cry 2,53,308.00000000000006,0.3,0.7,1.7,4.9,64.0
The Stanley Parable,97,300.3000000000001,0.1,0.9,2.0,3.4,35.0
Freedom Planet,5,9.100000000000001,0.2,0.6,0.8,3.5,4.0
Osmos,22,38.00000000000001,0.1,0.3,1.0,1.3749999999999998,10.4
Oil Rush,9,21.400000000000002,0.2,0.5,0.6,2.5,10.9
Unepic,18,156.19999999999996,0.2,0.9500000000000001,1.65,6.625,59.0
The Legend of Korra,12,64.6,0.3,0.6749999999999999,2.35,7.949999999999999,17.4
Dark Souls Prepare to Die Edition,109,4737.900000000001,0.1,1.8,14.0,58.0,392.0
Psychonauts,42,216.59999999999997,0.1,1.2249999999999999,2.95,4.5,36.0
Rock of Ages,20,40.69999999999999,0.1,0.4,1.15,3.1750000000000003,6.4
Half-Life 2 Lost Coast,165,174.30000000000004,0.1,0.4,0.6,1.0,13.0
Galcon Legends,4,8.3,0.5,1.625,2.2,2.65,3.4
One Finger Death Punch,22,180.20000000000005,0.5,1.9999999999999998,4.65,10.725,38.0
Mind Path to Thalamus Enhanced Edition,3,14.8,0.4,1.9,3.4,7.2,11.0
Intrusion 2,10,18.400000000000002,0.1,0.47500000000000003,0.8,1.6749999999999998,10.1
Amnesia The Dark Descent,112,572.8999999999999,0.1,0.6749999999999999,2.1500000000000004,7.450000000000001,33.0
Out There Somewhere,10,26.2,0.2,0.4,0.55,2.3000000000000003,17.2
Lone Survivor The Director's Cut,19,17.2,0.1,0.2,0.3,0.8500000000000001,4.3
NightSky,10,5.6000000000000005,0.2,0.32499999999999996,0.4,0.575,1.5
Frozen Synapse,26,156.10000000000002,0.1,0.6499999999999999,2.5,6.875,39.0
Hammerfight,7,20.4,0.1,0.35,0.4,0.9,17.4
Spintires,31,836.2000000000002,0.2,5.1,15.5,29.5,154.0
Ziggurat,4,7.4,0.4,1.15,1.45,2.15,4.1
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6,6.800000000000001,0.2,0.5,1.0,1.425,2.7
Dead Island,178,2528.8000000000006,0.2,1.9,7.75,22.5,78.0
Superbrothers Sword & Sworcery EP,20,23.1,0.1,0.2,0.45,1.25,5.5
GRID 2,54,940.4999999999999,0.1,3.55,10.55,23.0,90.0
Sonic & All-Stars Racing Transformed,31,184.60000000000002,0.1,1.0499999999999998,2.6,9.5,34.0
Call of Juarez Gunslinger,46,339.4999999999999,0.2,1.7249999999999999,6.6,9.275,43.0
Crysis 2 Maximum Edition,88,611.4000000000001,0.1,0.8,2.1500000000000004,8.85,84.0
Strike Vector,10,12.400000000000002,0.1,0.3,1.05,2.0250000000000004,3.3
Prison Architect,98,2626.4999999999995,0.1,3.1,12.5,32.0,185.0
Lego Harry Potter,13,119.30000000000001,0.3,0.8,7.3,13.0,33.0
Outlast,69,378.19999999999993,0.2,0.9,3.4,8.1,39.0
Super Hexagon,29,94.70000000000002,0.2,0.8,1.4,3.1,37.0
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,5,25.200000000000003,0.2,0.3,4.7,7.1,12.9
Valkyria Chronicles,29,286.9,0.2,0.9,5.2,12.9,49.0
Shatter,18,46.300000000000004,0.1,0.35,1.3,4.824999999999999,8.4
Jamestown,22,26.1,0.1,0.3,0.9,1.65,4.4
Spelunky,34,378.8,0.1,1.0,3.0,8.350000000000001,87.0
STAR WARS Knights of the Old Republic II The Sith Lords,48,1015.7,0.1,0.7500000000000001,13.850000000000001,31.5,168.0
Phantom Breaker Battle Grounds,5,65.3,0.2,0.4,4.6,7.1,53.0
Tom Clancy's Splinter Cell Chaos Theory,9,9.1,0.1,0.2,0.9,1.6,2.4
The Witcher Enhanced Edition,120,3257.4999999999995,0.1,0.6749999999999999,2.95,25.75,1231.0
Risk of Rain,75,828.5,0.1,1.2999999999999998,4.4,11.75,76.0
Survarium,77,305.2000000000001,0.1,0.3,0.7,1.8,83.0
BattleBlock Theater,105,622.4000000000002,0.1,2.1,3.9,7.9,54.0
Need for Speed Hot Pursuit,54,611.3000000000001,0.2,1.3250000000000002,4.1,15.750000000000002,122.0
BIT.TRIP RUNNER,40,73.6,0.1,0.3,0.9500000000000001,2.025,13.1
Coin Crypt,3,9.6,0.1,1.45,2.8,4.75,6.7
The Crew,20,1099.9,0.1,7.225,23.0,47.0,399.0
Metro Last Light Redux,28,247.89999999999998,0.1,2.9250000000000003,7.15,13.475000000000001,37.0
Sonic Generations,26,595.9000000000001,0.1,1.05,2.25,9.675,276.0
Reus,49,211.29999999999993,0.1,0.7,1.6,4.7,28.0
Call of Duty Modern Warfare 2 - Multiplayer,284,42002.70000000001,0.1,10.549999999999999,65.5,181.0,1194.0
Call of Duty Modern Warfare 2,285,8603.700000000003,0.1,4.4,13.3,27.0,1755.0
Call of Duty Black Ops - Multiplayer,188,17135.1,0.1,7.1,29.0,78.25,1902.0
Counter-Strike Source,650,96006.30000000002,0.1,4.2,19.3,99.75,4676.0
Dungeon Defenders,110,3815.9000000000005,0.2,2.3,7.65,37.0,428.0
Call of Duty Black Ops,210,3854.1999999999985,0.1,4.5,9.5,22.75,259.0
Day of Defeat Source,159,4836.700000000001,0.1,0.5,2.2,9.35,1461.0
Empire Total War,200,21014.299999999996,0.1,5.65,30.5,126.0,1197.0
ARK Survival Evolved,155,13585.600000000004,0.2,3.55,14.5,103.5,656.0
Unturned,884,15856.500000000015,0.1,1.4,5.6,17.4,850.0
Alien Swarm,262,1476.0000000000007,0.1,0.7,2.45,7.074999999999999,83.0
TERA,116,2386.3999999999996,0.1,1.1749999999999998,5.55,19.825000000000003,536.0
Rust,204,15272.099999999999,0.2,8.325000000000001,38.0,97.0,719.0
Dead Island Riptide,52,630.4000000000002,0.3,2.1,6.45,13.95,113.0
Flatout 3,3,12.7,0.3,0.5,0.7,6.199999999999999,11.7
Counter-Strike Nexon Zombies,157,1980.8999999999994,0.1,0.3,1.0,7.6,269.0
Everlasting Summer,36,194.4,0.1,0.5,1.15,5.55,48.0
War Thunder,294,14372.900000000003,0.1,1.4249999999999998,6.75,37.0,1835.0
DCS World,16,38.20000000000001,0.1,0.3,0.6499999999999999,1.0750000000000002,26.0
Tactical Intervention,59,212.99999999999994,0.1,0.3,0.8,4.5,39.0
Medal of Honor(TM) Multiplayer,40,249.89999999999992,0.1,0.37500000000000006,1.25,6.1,44.0
Max Payne 2 The Fall of Max Payne,15,130.5,0.2,0.6,2.9,9.25,48.0
Mafia II,104,2875.400000000001,0.3,11.125000000000002,17.75,33.25,180.0
Nosgoth,161,1315.7999999999997,0.1,0.5,1.2,5.7,271.0
Revenge of the Titans,15,50.2,0.2,0.4,1.0,3.85,13.2
A Virus Named TOM,12,23.500000000000004,0.1,0.17500000000000002,0.9,1.725,8.3
Europa Universalis III,16,1082.9999999999995,0.1,1.15,2.1,12.475000000000001,678.0
Awesomenauts,68,1504.7,0.1,1.3749999999999998,6.9,13.899999999999999,331.0
Super Puzzle Platformer Deluxe,1,5.9,5.9,5.9,5.9,5.9,5.9
Super Meat Boy,125,453.3,0.1,0.5,1.5,4.0,46.0
LIMBO,83,243.9999999999999,0.1,1.05,2.6,3.8,13.7
Cogs,25,55.49999999999999,0.2,0.4,0.8,2.0,22.0
Crayon Physics Deluxe,23,10.7,0.1,0.2,0.4,0.6,1.4
America's Army Proving Grounds,46,1428.3000000000002,0.1,0.4,1.0,4.75,1118.0
Tom Clancy's Ghost Recon Phantoms - NA,122,4896.999999999999,0.1,1.3,5.8,23.5,2047.0
APB Reloaded,133,9228.0,0.2,1.2,3.2,11.1,4749.0
ORION Prelude,80,407.10000000000014,0.1,0.875,2.0,6.125,52.0
Hotline Miami 2 Wrong Number,18,188.8,0.4,1.0,4.5,8.049999999999999,97.0
Amnesia A Machine for Pigs,24,109.60000000000001,0.1,0.975,4.2,5.3,15.2
Deadpool,13,131.0,0.8,6.4,8.2,11.2,34.0
Counter-Strike Condition Zero,202,7929.100000000001,0.1,0.525,3.25,14.500000000000002,978.0
Counter-Strike,481,134152.4,0.1,3.0,16.0,165.0,4814.0
Mount & Blade Warband,110,20632.000000000004,0.1,5.425,30.0,140.75,3178.0
Castle Crashers,153,1002.7999999999998,0.1,1.2,3.3,7.5,64.0
Tom Clancy's Ghost Recon Phantoms - EU,131,3227.099999999999,0.1,1.05,4.7,18.7,779.0
SMITE,77,621.8000000000002,0.1,1.1,3.2,8.1,51.0
Ricochet,19,20.800000000000004,0.1,0.15000000000000002,0.3,0.45,13.6
Kane & Lynch 2 Dog Days,16,79.4,0.1,0.49999999999999994,2.0999999999999996,5.025,32.0
PAYDAY 2,389,19612.6,0.1,5.8,18.2,52.0,1029.0
Infinite Crisis,35,109.79999999999997,0.1,0.55,1.0,2.05,41.0
AdVenture Capitalist,132,6058.5999999999985,0.1,1.1,6.5,39.75,1095.0
DiggerOnline,30,83.00000000000001,0.1,0.4,0.9,1.925,45.0
Heroes & Generals,304,3279.600000000001,0.1,0.4,1.5,6.500000000000001,340.0
Project CARS,23,338.5,1.3,6.050000000000001,9.9,21.5,40.0
Defense Grid The Awakening,41,755.8,0.1,3.0,8.6,24.0,156.0
Broken Age,16,157.3,0.5,2.5,10.1,13.249999999999998,35.0
Cloud Chamber,1,22.0,22.0,22.0,22.0,22.0,22.0
Stacking,12,66.30000000000001,0.7,2.175,3.8,6.9,19.6
Ghostbusters The Video Game,11,54.300000000000004,0.2,0.30000000000000004,4.0,8.15,16.3
Faerie Solitaire,5,39.9,2.8,2.9,4.1,14.7,15.4
Dreamfall Chapters,5,23.900000000000002,0.6,0.7,3.0,5.0,14.6
Portal Stories Mel,24,128.70000000000002,0.3,0.575,3.4,9.375,18.4
Universe Sandbox,50,300.29999999999995,0.1,0.42500000000000004,1.35,4.1,138.0
Toki Tori,20,51.00000000000002,0.1,0.3,1.6,2.2,16.4
The Wonderful End of the World,5,18.9,0.4,0.6,2.7,4.7,10.5
Hacker Evolution,13,20.400000000000002,0.2,0.3,0.5,1.5,9.5
Thomas Was Alone,27,60.49999999999999,0.3,0.55,1.1,3.1500000000000004,9.0
Little Inferno,25,188.3,0.2,1.4,2.3,4.3,118.0
Costume Quest,17,69.4,0.3,1.7,2.8,6.4,11.4
RUSH,9,24.4,0.1,0.3,1.4,4.6,7.5
Return to Mysterious Island 2,1,5.9,5.9,5.9,5.9,5.9,5.9
World of Goo,41,92.20000000000002,0.1,0.4,1.0,2.0,19.1
Deus Ex Game of the Year Edition,36,187.5,0.1,0.4,1.35,4.375,68.0
Portal 2 - The Final Hours,8,8.299999999999999,0.1,0.3,0.4,0.6,5.6
AaAaAA!!! - A Reckless Disregard for Gravity,5,22.4,0.1,0.3,0.7,5.3,16.0
Audiosurf,80,647.9,0.1,0.6,1.55,6.025,113.0
Machinarium,33,146.00000000000006,0.2,0.8,2.2,6.0,22.0
VVVVVV,37,107.0,0.1,0.3,1.0,5.1,12.8
GEARCRACK Arena,2,5.2,0.5,1.55,2.6,3.6500000000000004,4.7
Quantum Conundrum,11,58.50000000000001,0.1,2.0,3.1,4.699999999999999,24.0
Alan Wake's American Nightmare,24,82.59999999999998,0.1,1.375,3.5,4.85,9.9
Sam & Max 101 Culture Shock,4,12.3,2.6,2.6,3.0,3.4749999999999996,3.7
Back to the Future Ep 2 - Get Tannen!,6,13.200000000000001,0.2,1.275,2.7,3.075,3.6
The Ball,11,77.69999999999999,0.2,1.6,3.3,7.95,30.0
Torchlight II,203,6891.5,0.1,4.0,13.3,30.0,839.0
Back to the Future Ep 5 - OUTATIME,3,8.3,2.4,2.45,2.5,2.95,3.4
Sam & Max 102 Situation Comedy,4,6.6,0.1,0.5499999999999999,1.65,2.75,3.2
Back to the Future Ep 1 - It's About Time,11,25.3,0.2,1.9000000000000001,2.6,3.0,3.6
Back to the Future Ep 4 - Double Visions,3,7.8,2.2,2.5,2.8,2.8,2.8
Organ Trail Director's Cut,13,31.099999999999998,0.1,0.4,1.5,2.7,12.6
Back to the Future Ep 3 - Citizen Brown,4,10.8,2.5,2.575,2.6500000000000004,2.7750000000000004,3.0
BIT.TRIP BEAT,13,21.599999999999998,0.1,0.3,0.9,3.0,4.5
Braid,40,115.49999999999997,0.1,0.575,2.1500000000000004,4.1,11.7
Atom Zombie Smasher ,19,110.80000000000001,0.3,1.3,1.9,5.5,56.0
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),5,20.0,0.2,1.2,2.4,5.0,11.2
Botanicula,16,49.3,0.3,0.975,3.25,4.7,7.8
And Yet It Moves,15,19.599999999999994,0.1,0.4,0.5,0.95,7.4
Ticket to Ride,11,93.20000000000002,0.3,0.55,2.4,4.65,55.0
Penumbra Overture,17,36.6,0.2,0.5,1.0,3.4,8.4
Dear Esther,31,32.1,0.1,0.4,0.8,1.25,6.0
S.K.I.L.L. - Special Force 2,30,191.3,0.1,0.55,1.2000000000000002,4.95,98.0
BLOCKADE 3D,102,657.3000000000001,0.1,0.6,1.65,6.574999999999999,144.0
The Elder Scrolls IV Oblivion ,66,1945.8999999999999,0.1,1.8250000000000002,6.9,34.0,293.0
Terraria,448,29931.899999999987,0.1,3.45,22.0,84.0,991.0
Assassin's Creed Brotherhood,39,976.4000000000001,0.1,7.35,16.5,34.5,96.0
Saints Row 2,52,1542.7999999999997,0.1,1.1749999999999998,6.949999999999999,25.5,308.0
Grand Theft Auto Episodes from Liberty City,74,1245.8000000000002,0.2,0.6749999999999999,5.3,26.5,119.0
Batman Arkham Origins,97,1951.3,0.1,4.1,12.4,21.0,287.0
The Witcher 2 Assassins of Kings Enhanced Edition,169,3253.500000000001,0.1,1.3,5.5,26.0,163.0
The Elder Scrolls III Morrowind,39,751.7000000000003,0.1,1.25,5.2,20.25,132.0
Bookworm Adventures Deluxe,4,74.9,0.3,8.774999999999999,18.3,28.25,38.0
Star Wars Knights of the Old Republic,82,1227.1999999999998,0.1,1.275,5.699999999999999,21.0,93.0
GRID,28,634.8,0.2,1.0,3.3499999999999996,16.225,312.0
Hidden Object Bundle 4 in 1,1,27.0,27.0,27.0,27.0,27.0,27.0
Darksiders,91,1194.9999999999998,0.2,1.05,5.0,18.9,262.0
Worms Reloaded,46,366.8,0.1,1.1,2.65,7.575,91.0
FlatOut Ultimate Carnage,6,72.7,0.5,3.6,13.25,20.05,23.0
SimCity 4 Deluxe,56,1177.3,0.1,0.6749999999999999,3.0,12.0,268.0
Chivalry Medieval Warfare,192,3964.1,0.1,1.6,5.05,15.8,468.0
Ghost Master,7,37.3,0.1,0.35,4.2,6.300000000000001,19.7
Peggle Deluxe,13,63.199999999999996,0.6,1.2,2.4,6.0,19.7
Alan Wake,86,1041.4000000000003,0.1,1.7249999999999999,3.3499999999999996,10.775000000000002,431.0
Peggle Nights,7,33.9,0.3,0.55,3.8,4.6,19.5
